median	q25	q75	median_independent	q25_independent	q75_independent
-121.785	-123.735	-119.639	-150.061	-151.405	-149.55
-121.641	-123.735	-119.633	-150.061	-151.404	-149.55
-121.641	-123.735	-119.579	-150.061	-151.404	-149.55
-121.641	-123.735	-119.579	-150.061	-151.404	-149.536
-121.641	-123.735	-119.579	-150.061	-151.403	-149.536
-121.641	-123.735	-119.579	-150.061	-151.403	-149.536
-121.641	-123.735	-119.575	-150.061	-151.403	-149.528
-121.641	-123.735	-119.563	-150.061	-151.403	-149.528
-121.641	-123.735	-119.563	-150.061	-151.391	-149.528
-120.754	-123.735	-119.563	-150.06	-151.391	-149.498
-120.754	-123.359	-119.563	-150.06	-151.391	-149.498
-120.754	-122.893	-119.563	-150.058	-151.372	-149.498
-120.754	-122.893	-119.563	-150.058	-151.372	-149.498
-120.754	-122.893	-119.563	-150.058	-151.372	-149.484
-120.754	-122.893	-119.563	-150.058	-151.372	-149.484
-120.754	-122.893	-119.563	-150.058	-151.355	-149.484
-120.754	-122.893	-119.563	-150.058	-151.355	-149.484
-120.684	-122.893	-119.526	-150.058	-151.355	-149.484
-120.684	-122.778	-119.526	-150.058	-151.355	-149.484
-120.684	-122.775	-119.349	-150.058	-151.355	-149.484
-120.684	-122.775	-119.349	-150.058	-151.355	-149.484
-120.684	-122.775	-119.349	-150.058	-151.355	-149.484
-120.684	-122.775	-119.349	-150.058	-151.355	-149.484
-120.65	-122.775	-119.346	-150.058	-151.355	-149.484
-120.518	-122.775	-119.346	-150.058	-151.355	-149.484
-120.518	-122.775	-119.346	-150.058	-151.355	-149.484
-120.465	-122.775	-119.346	-150.058	-151.355	-149.484
-120.465	-122.775	-119.346	-150.039	-151.355	-149.484
-120.465	-122.775	-119.346	-150.039	-151.355	-149.484
-120.465	-122.775	-119.346	-150.039	-151.354	-149.484
-120.465	-122.726	-118.587	-150.039	-151.354	-149.484
-120.396	-122.544	-118.587	-150.039	-151.354	-149.484
-120.396	-122.544	-118.587	-150.039	-151.354	-149.484
-120.396	-122.544	-118.587	-150.039	-151.354	-149.484
-120.396	-122.544	-118.587	-150.039	-151.354	-149.484
-120.396	-122.544	-118.587	-150.039	-151.354	-149.484
-120.396	-122.544	-118.587	-150.03	-151.354	-149.484
-120.396	-122.507	-118.587	-150.03	-151.354	-149.484
-119.84	-122.507	-118.408	-150.03	-151.354	-149.484
-119.84	-122.507	-118.408	-150.03	-151.353	-149.484
-119.84	-122.507	-118.394	-150.02	-151.353	-149.484
-119.84	-120.833	-118.394	-150.02	-151.353	-149.484
-119.84	-120.833	-118.213	-150.02	-151.353	-149.484
-119.84	-120.833	-118.213	-150.02	-151.353	-149.484
-119.84	-120.833	-118.213	-150.02	-151.353	-149.484
-119.611	-120.833	-117.809	-150.02	-151.344	-149.484
-119.611	-120.833	-117.809	-150.02	-151.343	-149.484
-119.611	-120.833	-117.809	-150.02	-151.343	-149.484
-119.585	-120.833	-117.809	-150.02	-151.343	-149.484
-119.585	-120.833	-117.809	-150.02	-151.343	-149.484
-119.585	-120.833	-117.809	-150.02	-151.343	-149.484
-119.585	-120.833	-117.79	-150.02	-151.343	-149.484
-119.585	-120.833	-117.79	-150.02	-151.343	-149.484
-119.585	-120.833	-117.702	-150.02	-151.343	-149.484
-119.585	-120.833	-117.702	-150.02	-151.343	-149.484
-119.582	-120.833	-117.702	-150.02	-151.343	-149.484
-119.402	-120.716	-117.616	-150.02	-151.343	-149.484
-119.402	-120.716	-117.616	-150.02	-151.343	-149.484
-119.402	-120.716	-117.495	-150.02	-151.338	-149.484
-119.402	-120.716	-117.495	-150.02	-151.338	-149.484
-119.402	-120.716	-117.495	-150.02	-151.338	-149.484
-119.402	-120.716	-117.495	-150.02	-151.338	-149.484
-119.402	-120.716	-117.495	-150.02	-151.338	-149.484
-119.332	-119.793	-117.495	-150.02	-151.338	-149.484
-119.332	-119.793	-117.495	-150.02	-151.338	-149.484
-119.332	-119.793	-117.125	-150.02	-151.337	-149.484
-119.332	-119.793	-117.125	-150.02	-151.337	-149.484
-119.332	-119.792	-117.035	-150.02	-151.337	-149.484
-119.332	-119.792	-116.996	-150.02	-151.337	-149.484
-119.332	-119.792	-116.996	-150.02	-151.337	-149.484
-119.332	-119.792	-116.992	-150.02	-151.337	-149.48
-119.332	-119.792	-116.992	-150.02	-151.327	-149.48
-119.332	-119.792	-116.992	-150.02	-151.327	-149.48
-119.332	-119.792	-116.992	-150.017	-151.327	-149.48
-119.326	-119.792	-116.992	-150.017	-151.327	-149.48
-119.326	-119.792	-116.903	-150.017	-151.327	-149.48
-119.325	-119.792	-116.903	-150.017	-151.327	-149.48
-119.325	-119.792	-116.903	-150.017	-151.327	-149.48
-119.325	-119.792	-116.066	-150.017	-151.327	-149.48
-119.325	-119.792	-116.066	-150.015	-151.327	-149.48
-119.325	-119.792	-116.066	-150.015	-151.322	-149.48
-119.325	-119.792	-116.066	-150.015	-151.322	-149.48
-119.037	-119.758	-116.066	-150.015	-151.322	-149.48
-119.037	-119.758	-116.066	-150.015	-151.322	-149.48
-119.037	-119.758	-116.066	-150.015	-151.322	-149.48
-119.037	-119.758	-116.066	-150.015	-151.322	-149.48
-119.037	-119.758	-116.066	-150.015	-151.322	-149.48
-119.037	-119.758	-116.066	-150.015	-151.311	-149.48
-119.037	-119.751	-116.066	-150.015	-151.311	-149.48
-119.037	-119.751	-116.066	-150.015	-151.311	-149.48
-119.037	-119.751	-115.905	-150.015	-151.311	-149.48
-119.037	-119.751	-115.905	-150.015	-151.311	-149.48
-119.037	-119.751	-115.905	-150.015	-151.311	-149.48
-119.037	-119.751	-115.905	-150.015	-151.311	-149.48
-118.315	-119.728	-115.867	-150.015	-151.311	-149.48
-118.315	-119.728	-115.867	-150.009	-151.311	-149.48
-118.315	-119.728	-114.783	-150.009	-151.311	-149.48
-118.315	-119.728	-114.783	-150.009	-151.309	-149.48
